team,avg_gf,avg_ga,avg_gd,win_rate,draw_rate,loss_rate,pct_high_scoring,n_matches,possession,corners,fouls,attempts,on_target,cluster,cluster_label
Serbia,1.587,1.141,0.446,0.467,0.272,0.261,0.522,92,42.666666666666664,3.0,14.333333333333334,10.333333333333334,3.3333333333333335,1,elite ofensivo
Seychelles,0.44,2.88,-2.44,0.04,0.26,0.7,0.6,50,,,,,,3,defensivo / debil
Sierra Leone,0.98,1.471,-0.49,0.235,0.353,0.412,0.451,51,,,,,,2,equilibrado medio
Singapore,1.395,1.711,-0.316,0.382,0.211,0.408,0.605,76,,,,,,0,defensivo / debil
Sint Maarten,1.571,3.057,-1.486,0.314,0.171,0.514,0.686,35,,,,,,3,defensivo / debil
Slovakia,1.382,1.157,0.225,0.416,0.236,0.348,0.438,89,,,,,,2,equilibrado medio
Slovenia,1.302,1.0,0.302,0.395,0.349,0.256,0.419,86,,,,,,2,equilibrado medio
Solomon Islands,2.227,1.705,0.523,0.455,0.114,0.432,0.591,44,,,,,,1,elite ofensivo
Somalia,0.5,1.909,-1.409,0.091,0.136,0.773,0.591,22,,,,,,3,defensivo / debil
South Africa,1.394,0.798,0.596,0.455,0.384,0.162,0.414,99,,,,,,2,equilibrado medio
South Korea,1.75,0.898,0.852,0.556,0.25,0.194,0.481,108,,,,,,1,elite ofensivo
South Sudan,0.633,1.694,-1.061,0.163,0.204,0.633,0.449,49,,,,,,0,defensivo / debil
Spain,2.392,0.804,1.588,0.627,0.284,0.088,0.598,102,69.0,5.25,10.25,12.75,4.0,1,elite ofensivo
Sri Lanka,0.755,1.857,-1.102,0.184,0.224,0.592,0.449,49,,,,,,0,defensivo / debil
Sudan,0.77,1.284,-0.514,0.243,0.297,0.459,0.365,74,,,,,,2,equilibrado medio
Suriname,1.698,1.057,0.642,0.434,0.245,0.321,0.528,53,,,,,,1,elite ofensivo
Sweden,1.57,1.18,0.39,0.5,0.15,0.35,0.53,100,,,,,,1,elite ofensivo
Switzerland,1.828,1.131,0.697,0.434,0.323,0.242,0.525,99,43.0,5.0,13.0,9.0,2.75,1,elite ofensivo
Syria,1.267,1.289,-0.022,0.333,0.233,0.433,0.444,90,,,,,,2,equilibrado medio
São Tomé and Príncipe,0.71,2.677,-1.968,0.097,0.129,0.774,0.613,31,,,,,,3,defensivo / debil
Tahiti,2.071,1.25,0.821,0.5,0.143,0.357,0.607,28,,,,,,1,elite ofensivo
Taiwan,1.043,2.391,-1.348,0.239,0.087,0.674,0.674,46,,,,,,3,defensivo / debil
Tajikistan,1.227,1.152,0.076,0.348,0.258,0.394,0.424,66,,,,,,2,equilibrado medio
Tanzania,0.824,1.122,-0.297,0.257,0.27,0.473,0.243,74,,,,,,2,equilibrado medio
Thailand,1.794,1.093,0.701,0.495,0.247,0.258,0.546,97,,,,,,1,elite ofensivo
Timor-Leste,0.794,3.176,-2.382,0.147,0.059,0.794,0.706,34,,,,,,3,defensivo / debil
Togo,0.982,1.193,-0.211,0.228,0.404,0.368,0.333,57,,,,,,2,equilibrado medio
Trinidad and Tobago,1.453,1.512,-0.058,0.314,0.302,0.384,0.477,86,,,,,,2,equilibrado medio
Tunisia,1.42,0.741,0.679,0.527,0.241,0.232,0.357,112,37.666666666666664,7.0,13.333333333333334,9.666666666666666,2.6666666666666665,1,elite ofensivo
Turkey,1.787,1.277,0.511,0.511,0.245,0.245,0.596,94,,,,,,1,elite ofensivo
Turkmenistan,1.108,1.703,-0.595,0.297,0.162,0.541,0.514,37,,,,,,0,defensivo / debil
Turks and Caicos Islands,1.152,3.545,-2.394,0.273,0.152,0.576,0.788,33,,,,,,3,defensivo / debil
Uganda,0.922,1.039,-0.117,0.351,0.26,0.39,0.312,77,,,,,,2,equilibrado medio
Ukraine,1.449,1.292,0.157,0.449,0.292,0.258,0.539,89,,,,,,1,elite ofensivo
United Arab Emirates,1.48,1.069,0.412,0.422,0.255,0.324,0.48,102,,,,,,1,elite ofensivo
United States,1.862,0.927,0.935,0.537,0.195,0.268,0.488,123,47.5,5.5,11.25,11.5,3.75,1,elite ofensivo
United States Virgin Islands,0.912,2.441,-1.529,0.147,0.176,0.676,0.647,34,,,,,,3,defensivo / debil
Uruguay,1.409,0.817,0.591,0.473,0.301,0.226,0.398,93,41.0,2.6666666666666665,11.333333333333334,10.666666666666666,3.3333333333333335,2,equilibrado medio
Uzbekistan,1.609,0.874,0.736,0.517,0.23,0.253,0.483,87,,,,,,1,elite ofensivo
Vanuatu,1.771,1.971,-0.2,0.314,0.143,0.543,0.6,35,,,,,,0,defensivo / debil
Venezuela,1.16,1.296,-0.136,0.333,0.247,0.42,0.481,81,,,,,,2,equilibrado medio
Vietnam,1.575,1.069,0.506,0.494,0.184,0.322,0.494,87,,,,,,1,elite ofensivo
Wales,1.276,1.08,0.195,0.402,0.299,0.299,0.391,87,41.0,2.0,11.666666666666666,8.0,2.3333333333333335,2,equilibrado medio
Yemen,1.062,1.812,-0.75,0.208,0.229,0.562,0.521,48,,,,,,0,defensivo / debil
Zambia,1.287,1.437,-0.149,0.379,0.218,0.402,0.517,87,,,,,,0,defensivo / debil
Zimbabwe,0.909,1.167,-0.258,0.182,0.439,0.379,0.364,66,,,,,,2,equilibrado medio
